report_id,type,comment,area,user_id,status,report_time,response_time,department_id
R001,road_damage,Damaged sidewalk,University,U008,resolved,2026-05-04T14:07:00,112,D015
R002,traffic,Traffic light malfunction,East Side,U010,in_progress,2026-05-06T05:32:00,,D033
R003,electricity,Electrical sparks near pole,Old City,U062,in_progress,2026-05-01T17:57:00,,D007
R004,water,Flooding near building,Old City,U053,submitted,2026-05-03T00:58:00,,D009
R005,water,Flooding near building,West Side,U009,submitted,2026-05-05T23:47:00,,D039
R006,water,Water leakage from pipe,Industrial Zone,U087,submitted,2026-05-05T16:27:00,,D019
R007,traffic,Traffic light malfunction,West Side,U095,in_progress,2026-05-02T06:05:00,,D038
R008,electricity,Electrical sparks near pole,South District,U085,in_progress,2026-05-04T12:53:00,,D027
R009,electricity,Electrical sparks near pole,North District,U028,resolved,2026-05-06T16:01:00,116,D022
R010,water,No water supply,South District,U016,submitted,2026-05-02T18:00:00,,D029
R011,trash,Bad smell from waste area,East Side,U115,resolved,2026-05-02T01:20:00,121,D031
R012,water,No water supply,Old City,U079,resolved,2026-05-02T03:27:00,160,D009
R013,electricity,Electrical sparks near pole,Downtown,U024,in_progress,2026-05-05T15:55:00,,D002
R014,water,Flooding near building,East Side,U049,resolved,2026-05-06T10:28:00,36,D034
R015,trash,Trash not collected,East Side,U084,in_progress,2026-05-02T10:01:00,,D031
R016,traffic,Heavy traffic near intersection,Industrial Zone,U066,in_progress,2026-05-05T15:10:00,,D018
R017,trash,Bad smell from waste area,Downtown,U068,in_progress,2026-05-03T02:41:00,,D001
R018,road_damage,Large pothole on road,University,U005,in_progress,2026-05-07T16:54:00,,D015
R019,water,Flooding near building,East Side,U102,in_progress,2026-05-05T10:42:00,,D034
R020,trash,Garbage container overflowing,Industrial Zone,U043,in_progress,2026-05-06T05:06:00,,D016
R021,trash,Bad smell from waste area,University,U034,in_progress,2026-05-05T05:03:00,,D011
R022,road_damage,Road cracks becoming dangerous,East Side,U011,in_progress,2026-05-05T07:30:00,,D035
R023,water,Water leakage from pipe,East Side,U051,in_progress,2026-05-05T22:20:00,,D034
R024,water,Flooding near building,Industrial Zone,U014,in_progress,2026-05-02T09:41:00,,D019
R025,electricity,Street light not working,North District,U090,submitted,2026-05-07T04:30:00,,D022
R026,trash,Garbage container overflowing,Downtown,U104,submitted,2026-05-08T03:33:00,,D001
R027,trash,Trash not collected,West Side,U120,resolved,2026-05-04T21:41:00,59,D036
R028,traffic,Traffic light malfunction,West Side,U031,in_progress,2026-05-05T02:37:00,,D038
R029,electricity,Electrical sparks near pole,Old City,U059,submitted,2026-05-06T18:10:00,,D007
R030,road_damage,Large pothole on road,Old City,U080,resolved,2026-05-04T19:48:00,69,D010
R031,traffic,Traffic light malfunction,North District,U089,submitted,2026-05-07T07:05:00,,D023
R032,electricity,Street light not working,North District,U114,submitted,2026-05-05T20:26:00,,D022
R033,water,Flooding near building,West Side,U057,submitted,2026-05-05T21:59:00,,D039
R034,water,No water supply,East Side,U108,resolved,2026-05-04T13:11:00,73,D034
R035,water,Flooding near building,South District,U112,in_progress,2026-05-07T14:56:00,,D029
R036,trash,Trash not collected,North District,U061,in_progress,2026-05-03T05:35:00,,D021
R037,traffic,Road congestion during rush hour,North District,U031,resolved,2026-05-06T04:39:00,71,D023
R038,trash,Trash not collected,Industrial Zone,U037,in_progress,2026-05-02T14:12:00,,D016
R039,electricity,Electrical sparks near pole,North District,U031,in_progress,2026-05-02T07:57:00,,D022
R040,water,Flooding near building,South District,U003,in_progress,2026-05-04T10:20:00,,D029
R041,water,No water supply,University,U070,resolved,2026-05-04T06:13:00,209,D014
R042,trash,Garbage container overflowing,East Side,U092,in_progress,2026-05-06T20:00:00,,D031
R043,trash,Garbage container overflowing,University,U092,resolved,2026-05-07T22:27:00,178,D011
R044,road_damage,Large pothole on road,West Side,U013,in_progress,2026-05-05T22:57:00,,D040
R045,water,Water leakage from pipe,West Side,U066,submitted,2026-05-03T01:22:00,,D039
R046,water,Flooding near building,Old City,U046,in_progress,2026-05-03T04:13:00,,D009
R047,road_damage,Damaged sidewalk,North District,U071,resolved,2026-05-04T13:39:00,56,D025
R048,electricity,Street light not working,Downtown,U024,submitted,2026-05-06T05:56:00,,D002
R049,trash,Bad smell from waste area,Old City,U018,in_progress,2026-05-07T08:27:00,,D006
R050,traffic,Traffic light malfunction,Old City,U043,submitted,2026-05-02T02:22:00,,D008
R051,electricity,Street light not working,University,U087,in_progress,2026-05-04T12:04:00,,D012
R052,traffic,Road congestion during rush hour,Old City,U118,submitted,2026-05-06T06:23:00,,D008
R053,road_damage,Damaged sidewalk,Industrial Zone,U088,in_progress,2026-05-07T17:49:00,,D020
R054,road_damage,Road cracks becoming dangerous,North District,U005,resolved,2026-05-01T13:17:00,25,D025
R055,electricity,Street light not working,University,U078,in_progress,2026-05-05T19:59:00,,D012
R056,trash,Bad smell from waste area,West Side,U001,resolved,2026-05-05T08:47:00,198,D036
R057,electricity,Electrical sparks near pole,East Side,U041,in_progress,2026-05-04T01:48:00,,D032
R058,traffic,Traffic light malfunction,University,U036,in_progress,2026-05-05T10:19:00,,D013
R059,electricity,Street light not working,Downtown,U083,resolved,2026-05-04T07:08:00,187,D002
R060,road_damage,Damaged sidewalk,West Side,U077,submitted,2026-05-05T23:25:00,,D040
R061,road_damage,Road cracks becoming dangerous,North District,U063,submitted,2026-05-07T09:47:00,,D025
R062,water,No water supply,Downtown,U024,submitted,2026-05-02T21:41:00,,D004
R063,traffic,Heavy traffic near intersection,East Side,U099,resolved,2026-05-06T05:50:00,162,D033
R064,traffic,Heavy traffic near intersection,West Side,U033,resolved,2026-05-06T04:00:00,197,D038
R065,trash,Bad smell from waste area,Downtown,U098,in_progress,2026-05-07T05:00:00,,D001
R066,electricity,Electrical sparks near pole,East Side,U039,in_progress,2026-05-02T15:39:00,,D032
R067,traffic,Road congestion during rush hour,East Side,U039,submitted,2026-05-05T18:24:00,,D033
R068,road_damage,Road cracks becoming dangerous,Old City,U018,resolved,2026-05-06T13:15:00,180,D010
R069,electricity,Electrical sparks near pole,University,U018,in_progress,2026-05-02T06:40:00,,D012
R070,traffic,Traffic light malfunction,Old City,U090,submitted,2026-05-03T12:03:00,,D008
R071,electricity,Power outage in neighborhood,Old City,U041,submitted,2026-05-07T17:54:00,,D007
R072,electricity,Street light not working,East Side,U016,resolved,2026-05-07T12:05:00,187,D032
R073,trash,Trash not collected,North District,U022,in_progress,2026-05-06T12:16:00,,D021
R074,road_damage,Road cracks becoming dangerous,Industrial Zone,U021,resolved,2026-05-04T22:29:00,109,D020
R075,traffic,Traffic light malfunction,Downtown,U108,resolved,2026-05-07T11:57:00,104,D003
R076,trash,Trash not collected,West Side,U063,resolved,2026-05-04T05:05:00,143,D036
R077,traffic,Traffic light malfunction,East Side,U066,in_progress,2026-05-05T11:48:00,,D033
R078,trash,Garbage container overflowing,East Side,U116,submitted,2026-05-01T23:57:00,,D031
R079,traffic,Road congestion during rush hour,West Side,U022,submitted,2026-05-02T06:37:00,,D038
R080,road_damage,Large pothole on road,East Side,U050,in_progress,2026-05-04T03:44:00,,D035
R081,electricity,Power outage in neighborhood,South District,U036,resolved,2026-05-04T19:19:00,180,D027
R082,electricity,Power outage in neighborhood,Industrial Zone,U053,submitted,2026-05-06T09:14:00,,D017
R083,road_damage,Large pothole on road,West Side,U022,in_progress,2026-05-07T23:00:00,,D040
R084,electricity,Power outage in neighborhood,Industrial Zone,U029,resolved,2026-05-07T01:16:00,167,D017
R085,electricity,Street light not working,Downtown,U036,resolved,2026-05-01T15:48:00,80,D002
R086,traffic,Road congestion during rush hour,Industrial Zone,U101,in_progress,2026-05-03T04:31:00,,D018
R087,road_damage,Damaged sidewalk,University,U034,resolved,2026-05-06T12:57:00,196,D015
R088,trash,Trash not collected,East Side,U034,submitted,2026-05-02T22:24:00,,D031
R089,trash,Bad smell from waste area,North District,U119,submitted,2026-05-01T19:48:00,,D021
R090,water,Water leakage from pipe,West Side,U090,submitted,2026-05-07T14:50:00,,D039
R091,trash,Bad smell from waste area,East Side,U097,resolved,2026-05-01T10:30:00,127,D031
R092,water,Water leakage from pipe,Old City,U105,submitted,2026-05-05T12:05:00,,D009
R093,trash,Trash not collected,West Side,U108,in_progress,2026-05-07T10:16:00,,D036
R094,electricity,Electrical sparks near pole,North District,U048,submitted,2026-05-05T21:05:00,,D022
R095,trash,Garbage container overflowing,University,U044,resolved,2026-05-03T09:40:00,72,D011
R096,road_damage,Damaged sidewalk,West Side,U020,submitted,2026-05-03T19:28:00,,D040
R097,water,Water leakage from pipe,Industrial Zone,U029,in_progress,2026-05-06T16:18:00,,D019
R098,traffic,Road congestion during rush hour,East Side,U057,submitted,2026-05-04T08:19:00,,D033
R099,trash,Garbage container overflowing,East Side,U077,in_progress,2026-05-06T02:11:00,,D031
R100,traffic,Heavy traffic near intersection,Industrial Zone,U043,in_progress,2026-05-07T02:00:00,,D018
R101,electricity,Power outage in neighborhood,Old City,U071,submitted,2026-05-06T14:16:00,,D007
R102,traffic,Road congestion during rush hour,South District,U086,submitted,2026-05-08T00:29:00,,D028
R103,trash,Bad smell from waste area,South District,U069,submitted,2026-05-07T10:41:00,,D026
R104,road_damage,Road cracks becoming dangerous,West Side,U005,in_progress,2026-05-02T03:10:00,,D040
R105,trash,Trash not collected,Industrial Zone,U032,submitted,2026-05-02T11:20:00,,D016
R106,trash,Bad smell from waste area,West Side,U051,submitted,2026-05-07T07:12:00,,D036
R107,traffic,Heavy traffic near intersection,Downtown,U055,submitted,2026-05-01T13:49:00,,D003
R108,trash,Garbage container overflowing,Downtown,U106,resolved,2026-05-03T09:19:00,211,D001
R109,trash,Trash not collected,Downtown,U002,resolved,2026-05-04T22:23:00,189,D001
R110,water,Flooding near building,Downtown,U099,submitted,2026-05-05T10:58:00,,D004
R111,road_damage,Damaged sidewalk,East Side,U030,in_progress,2026-05-03T08:16:00,,D035
R112,road_damage,Large pothole on road,Old City,U112,in_progress,2026-05-03T18:17:00,,D010
R113,traffic,Road congestion during rush hour,Industrial Zone,U098,submitted,2026-05-05T15:18:00,,D018
R114,electricity,Electrical sparks near pole,West Side,U049,in_progress,2026-05-08T01:22:00,,D037
R115,water,Water leakage from pipe,South District,U099,submitted,2026-05-05T05:36:00,,D029
R116,trash,Garbage container overflowing,West Side,U102,in_progress,2026-05-03T10:50:00,,D036
R117,water,Water leakage from pipe,South District,U023,in_progress,2026-05-04T01:42:00,,D029
R118,trash,Bad smell from waste area,West Side,U106,in_progress,2026-05-08T05:35:00,,D036
R119,trash,Trash not collected,Industrial Zone,U030,resolved,2026-05-01T12:24:00,157,D016
R120,traffic,Traffic light malfunction,East Side,U015,in_progress,2026-05-04T12:56:00,,D033
R121,road_damage,Road cracks becoming dangerous,West Side,U092,submitted,2026-05-05T16:13:00,,D040
R122,electricity,Street light not working,University,U107,submitted,2026-05-04T15:46:00,,D012
R123,trash,Garbage container overflowing,South District,U001,submitted,2026-05-05T05:55:00,,D026
R124,road_damage,Damaged sidewalk,University,U028,in_progress,2026-05-02T17:12:00,,D015
R125,electricity,Street light not working,Old City,U029,in_progress,2026-05-02T21:25:00,,D007
R126,road_damage,Damaged sidewalk,South District,U112,submitted,2026-05-06T03:33:00,,D030
R127,water,No water supply,Old City,U102,in_progress,2026-05-03T17:10:00,,D009
R128,water,Water leakage from pipe,South District,U062,in_progress,2026-05-06T15:59:00,,D029
R129,water,Flooding near building,Old City,U097,submitted,2026-05-07T02:53:00,,D009
R130,road_damage,Road cracks becoming dangerous,South District,U054,submitted,2026-05-01T23:15:00,,D030
R131,traffic,Traffic light malfunction,Downtown,U054,resolved,2026-05-02T05:54:00,226,D003
R132,electricity,Electrical sparks near pole,Downtown,U012,in_progress,2026-05-04T02:21:00,,D002
R133,traffic,Road congestion during rush hour,West Side,U002,submitted,2026-05-04T18:05:00,,D038
R134,road_damage,Large pothole on road,East Side,U096,in_progress,2026-05-05T11:36:00,,D035
R135,road_damage,Road cracks becoming dangerous,University,U079,in_progress,2026-05-03T11:26:00,,D015
R136,traffic,Heavy traffic near intersection,University,U105,in_progress,2026-05-06T18:11:00,,D013
R137,road_damage,Road cracks becoming dangerous,North District,U091,resolved,2026-05-03T16:47:00,203,D025
R138,water,Flooding near building,University,U046,in_progress,2026-05-07T00:07:00,,D014
R139,electricity,Power outage in neighborhood,South District,U048,resolved,2026-05-03T12:55:00,206,D027
R140,road_damage,Road cracks becoming dangerous,Industrial Zone,U076,in_progress,2026-05-01T15:45:00,,D020
R141,water,No water supply,South District,U015,resolved,2026-05-06T20:43:00,240,D029
R142,traffic,Heavy traffic near intersection,North District,U040,in_progress,2026-05-03T07:52:00,,D023
R143,road_damage,Large pothole on road,West Side,U068,resolved,2026-05-05T22:19:00,114,D040
R144,water,Water leakage from pipe,North District,U046,submitted,2026-05-06T20:21:00,,D024
R145,road_damage,Large pothole on road,West Side,U090,submitted,2026-05-06T22:29:00,,D040
R146,road_damage,Damaged sidewalk,East Side,U002,in_progress,2026-05-03T17:23:00,,D035
R147,water,Flooding near building,Old City,U106,in_progress,2026-05-03T12:07:00,,D009
R148,traffic,Traffic light malfunction,Industrial Zone,U019,submitted,2026-05-01T15:38:00,,D018
R149,electricity,Power outage in neighborhood,West Side,U003,resolved,2026-05-04T07:43:00,215,D037
R150,electricity,Street light not working,West Side,U003,in_progress,2026-05-03T13:22:00,,D037
R151,traffic,Road congestion during rush hour,West Side,U071,in_progress,2026-05-04T08:43:00,,D038
R152,trash,Trash not collected,University,U078,submitted,2026-05-07T14:40:00,,D011
R153,traffic,Road congestion during rush hour,Downtown,U012,submitted,2026-05-04T22:26:00,,D003
R154,traffic,Road congestion during rush hour,South District,U034,submitted,2026-05-02T00:58:00,,D028
R155,traffic,Traffic light malfunction,University,U012,submitted,2026-05-07T17:59:00,,D013
R156,trash,Trash not collected,Industrial Zone,U054,submitted,2026-05-02T11:34:00,,D016
R157,electricity,Street light not working,North District,U090,submitted,2026-05-04T07:04:00,,D022
R158,traffic,Traffic light malfunction,Industrial Zone,U031,submitted,2026-05-06T14:04:00,,D018
R159,traffic,Heavy traffic near intersection,University,U105,resolved,2026-05-05T12:16:00,188,D013
R160,road_damage,Damaged sidewalk,University,U081,in_progress,2026-05-02T01:10:00,,D015
R161,traffic,Traffic light malfunction,University,U048,submitted,2026-05-01T16:34:00,,D013
R162,trash,Trash not collected,Downtown,U026,submitted,2026-05-07T13:14:00,,D001
R163,electricity,Street light not working,Old City,U048,in_progress,2026-05-06T21:12:00,,D007
R164,trash,Trash not collected,Industrial Zone,U092,submitted,2026-05-07T15:11:00,,D016
R165,road_damage,Large pothole on road,Downtown,U117,submitted,2026-05-05T13:37:00,,D005
R166,trash,Bad smell from waste area,Industrial Zone,U052,in_progress,2026-05-03T11:59:00,,D016
R167,electricity,Power outage in neighborhood,East Side,U048,resolved,2026-05-04T21:04:00,59,D032
R168,electricity,Street light not working,North District,U064,submitted,2026-05-07T17:46:00,,D022
R169,traffic,Heavy traffic near intersection,Industrial Zone,U057,submitted,2026-05-01T16:39:00,,D018
R170,water,Water leakage from pipe,Downtown,U059,resolved,2026-05-05T03:32:00,104,D004
R171,water,Water leakage from pipe,Industrial Zone,U004,in_progress,2026-05-02T18:04:00,,D019
R172,road_damage,Road cracks becoming dangerous,Old City,U014,in_progress,2026-05-02T23:47:00,,D010
R173,electricity,Street light not working,University,U086,resolved,2026-05-07T12:18:00,94,D012
R174,traffic,Heavy traffic near intersection,University,U018,resolved,2026-05-05T14:38:00,124,D013
R175,road_damage,Road cracks becoming dangerous,West Side,U044,in_progress,2026-05-04T18:09:00,,D040
R176,traffic,Traffic light malfunction,East Side,U066,submitted,2026-05-07T06:19:00,,D033
R177,water,Water leakage from pipe,West Side,U093,resolved,2026-05-01T20:15:00,91,D039
R178,electricity,Power outage in neighborhood,Downtown,U062,submitted,2026-05-04T00:46:00,,D002
R179,electricity,Electrical sparks near pole,East Side,U029,submitted,2026-05-04T09:33:00,,D032
R180,trash,Trash not collected,East Side,U005,submitted,2026-05-03T22:49:00,,D031
R181,traffic,Road congestion during rush hour,North District,U063,submitted,2026-05-06T21:33:00,,D023
R182,traffic,Road congestion during rush hour,South District,U058,submitted,2026-05-05T04:23:00,,D028
R183,water,Water leakage from pipe,Old City,U048,in_progress,2026-05-04T01:56:00,,D009
R184,water,Water leakage from pipe,West Side,U066,in_progress,2026-05-05T15:45:00,,D039
R185,electricity,Power outage in neighborhood,North District,U046,in_progress,2026-05-02T01:16:00,,D022
R186,traffic,Heavy traffic near intersection,Industrial Zone,U111,in_progress,2026-05-07T03:40:00,,D018
R187,electricity,Street light not working,Old City,U104,in_progress,2026-05-07T04:27:00,,D007
R188,trash,Garbage container overflowing,West Side,U069,resolved,2026-05-02T21:24:00,153,D036
R189,water,Flooding near building,Industrial Zone,U048,submitted,2026-05-05T00:48:00,,D019
R190,water,Flooding near building,Old City,U100,submitted,2026-05-04T06:39:00,,D009
R191,electricity,Electrical sparks near pole,Old City,U041,submitted,2026-05-04T00:49:00,,D007
R192,traffic,Traffic light malfunction,East Side,U006,resolved,2026-05-06T09:06:00,80,D033
R193,water,Water leakage from pipe,South District,U045,in_progress,2026-05-05T04:24:00,,D029
R194,road_damage,Damaged sidewalk,Industrial Zone,U015,in_progress,2026-05-05T03:51:00,,D020
R195,electricity,Street light not working,West Side,U078,submitted,2026-05-04T07:21:00,,D037
R196,electricity,Street light not working,South District,U055,resolved,2026-05-06T03:51:00,217,D027
R197,road_damage,Road cracks becoming dangerous,Old City,U040,resolved,2026-05-04T21:15:00,185,D010
R198,road_damage,Large pothole on road,Industrial Zone,U030,submitted,2026-05-08T00:31:00,,D020
R199,trash,Trash not collected,East Side,U082,in_progress,2026-05-07T20:39:00,,D031
